mean_speed,max_speed,std_speed,mean_acceleration,max_acceleration,num_peaks,name,video,weight(kg),height(m),bar height(m),jump status
300.714245750865,639.067022268457,121.804328824285,-97.8203419213891,10347.0385051653,33,Steven Bastien,trimmed_1.mp4,90,1.9,1.9,1
222.533014606116,647.511849748526,160.160976228462,-55.9675924836897,18140.3818349085,39,Garrett Scantling,trimmed_10.mp4,95,1.91,1.96,1
311.066083551801,1657.1206086559,246.400006047335,19.0207087756827,40010.9899823153,40,Garrett Scantling,trimmed_11.mp4,95,1.91,1.99,1
259.761173030934,635.340969965018,142.784979920999,51.3602258146988,12812.9188009969,32,Lindon Victor,trimmed_12.mp4,82,1.85,1.99,1
424.523214457844,2814.9532275479,348.90661941496,96.1118022805263,76126.6912871257,32,Kai Kazmirek,trimmed_13.mp4,88,1.9,1.99,1
247.849080479467,587.858413720495,126.381599433206,-6.59330800596511,8546.16758704855,35,Cedric Dubler,trimmed_14.mp4,89,1.89,1.99,1
190.557273673734,527.904884140345,101.147782522153,-9.9800203074434,9166.65828496185,35,Zach Ziemek,trimmed_15.mp4,88,1.91,2.02,1
403.056199172395,3141.27981754219,387.339161207687,41.2938190741001,75828.5976771629,31,Garrett Scantling,trimmed_16.mp4,95,1.91,2.02,0
381.251002082302,1729.21315153894,313.944758891516,-10.8093444529401,44177.0887735688,38,Steven Bastein,trimmed_17.mp4,90,1.9,2.02,1
219.975793683606,1666.67631010509,216.810311653532,-59.5166637276191,35085.5042050167,38,Karel Tilga,trimmed_18.mp4,94,2.01,2.02,0
138.087937697143,445.601890266773,78.1067894122991,6.13997291380026,8842.07479504627,45,Ilya Shkurenyov,trimmed_19.mp4,82,1.91,1.99,0
305.259047347721,878.349055667064,198.251453581322,23.8794965619883,14602.6298409321,34,Garrett Scantling,trimmed_2.mp4,95,1.91,1.93,1
203.54234600639,619.468723629717,126.479195381814,-6.60508479430738,9263.32157513656,45,Pierce Lepage,trimmed_20.mp4,88,2.04,1.99,1
155.820789223983,460.662634933514,86.4432459229201,81.2270315046319,9481.42318673664,39,Adam Sebastian Helcelet,trimmed_21.mp4,92,1.9,1.99,0
117.717233497395,939.500044927911,112.185808303866,-29.9805272285237,15737.9490365749,36,Ilya Shkurenyov,trimmed_22.mp4,82,1.91,1.99,0
185.206606283254,379.593306286021,72.4143549271284,-14.0272705489069,5049.18161237254,22,Vitaliy zhuk,trimmed_23.mp4,73,1.78,1.99,0
145.985317849528,416.052136505873,78.4367980599965,-47.3616414130183,8961.38466736045,36,Adam Sebastian Helcelet,trimmed_24.mp4,92,1.9,1.99,0
373.790660427637,3010.65871265557,425.334589879088,-36.731595869541,28763.7562741089,36,Martin roe,trimmed_25.mp4,86,1.99,2.02,0
155.732834735823,2138.57451541877,233.502937067417,3.88924690426949,42798.3391532056,41,Ilya Shkurenyov,trimmed_26.mp4,82,1.91,2.02,0
152.343886151426,651.307801763943,89.4786568106183,-26.3654921564769,12314.7118520249,41,Pawel Wiesiolek,trimmed_27.mp4,82,1.94,2.02,0
124.691582253181,618.912423705572,78.9288642944488,12.6913173589917,11753.4648257072,36,Ilya Shkurenyov,trimmed_28.mp4,82,1.91,2.02,0
194.32285455445,437.815065169977,83.4835160901681,-42.1412486542931,6460.25686311766,29,Kevin Mayer,trimmed_29.mp4,82,1.86,2.05,0
494.397359824304,5223.67315556429,672.559602204761,-31.808478226881,135661.85174176,27,Lindon Victor,trimmed_3.mp4,82,1.85,1.93,1
170.12569868147,991.973727865509,125.486748199956,17.1383257613047,15575.9082881908,35,Pawel Wiesiolek,trimmed_30.mp4,82,1.94,2.05,0
204.339276783025,547.063427094936,109.783581346402,22.6268328133826,10657.1286053151,34,Felipe dos Santos,trimmed_31.mp4,83,1.8,2.05,0
107.263022504828,417.156802446015,83.1053513572114,8.3548943269684,11386.4776640785,48,Kai Kazmirek,trimmed_4.mp4,88,1.9,1.93,1
306.414815577418,2143.40442804673,245.161935873111,-85.653941120186,46595.5617185685,42,Garrett Scantling,trimmed_5.mp4,95,1.91,1.96,0
149.517267984281,417.108656167507,95.7300973066903,53.9148017648929,10586.1532402172,43,Steven Bastien,trimmed_6.mp4,90,1.9,1.96,1
202.628006640643,763.50420887636,107.172472621266,111.12737927479,13425.9438402479,46,Karel Tilga,trimmed_7.mp4,97,2.01,1.96,1
207.763996193822,478.43402562554,103.684357248956,23.5752384606251,10352.2671472085,35,Damian Warner,trimmed_8.mp4,83,1.84,1.96,1
104.011429529932,347.15242682011,76.296704840279,0.823717175297209,10409.0643374484,48,Niklas Kaul,trimmed_9.mp4,90,1.9,1.96,1
